Real,Prediccion,Riesgo
42.25,44.22129,ALTO (Dañino Sensible)
25.5833333333333,26.990646,MEDIO (Moderado)
16.75,17.768715,MEDIO (Moderado)
63.0,63.38236,MUY ALTO (Dañino)
58.4166666666667,59.477676,MUY ALTO (Dañino)
0.0,1.0706848,BAJO (Bueno)
3.33333333333333,4.4513946,BAJO (Bueno)
49.0833333333333,50.847614,ALTO (Dañino Sensible)
22.0,19.195482,MEDIO (Moderado)
42.58333333333331,43.91828,ALTO (Dañino Sensible)
17.6666666666667,17.485086,MEDIO (Moderado)
2.36363636363636,4.11017,BAJO (Bueno)
5.25,6.567465,BAJO (Bueno)
55.9166666666667,57.40602,MUY ALTO (Dañino)
1.41666666666667,1.6639639,BAJO (Bueno)
